YP_001036294	Polh    Structural
YP_001036295	1629    Structural
YP_001036296	PK-1    Auxiliar
YP_001036297	HOAR    Auxiliar
YP_001036298	cds_005 Unknown
YP_001036299	cds_006 Unknown
YP_001036300	cds_007 Unknown
YP_001036301	cds_008 Unknown
YP_003580183	ODV-E56 Structural
YP_001036302	ME53    Auxiliar
YP_001036303	cds_011 Unknown
YP_001036304	F-protein  Structural 
YP_001036305	GP16    Auxiliar
YP_001036306	P24 Structural
YP_001036307	cds_015 Auxiliar
YP_001036308	LEF2    Replication_Transcription
YP_001036309	38.7K   Auxiliar
YP_001036310	LEF1    Replication_Transcription
YP_001036311	cds_019 Unknown
YP_001036312	Cathepsin   Auxiliar
YP_001036313	LEF7    Auxiliar
YP_001036314	Chitinase   Auxiliar
YP_001036315	cds_023 Unknown
YP_001036316	GP37    Auxiliar
YP_001036317	PTP2    Auxiliar
YP_001036318	EGT Auxiliar
YP_001036319	cds_027 Unknown
YP_001036320	cds_028 Unknown
YP_001036321	cds_029 Unknown
YP_001036322	cds_030 Unknown
YP_001036323	PKIP    Structural
YP_001036324	cds_032 Unknown
YP_001036325	ARIF    Auxiliar
YP_001036326	PIF2    Structural
YP_001036327	PIF1    Structural
YP_001036328	cds_036 Unknown
YP_001036329	FGF Auxiliar
YP_001036330	cds_038 Unknown
YP_001036331	Alk-Exo Replication_Transcription
YP_001036332	cds_040 Unknown
YP_001036333	cds_041 Unknown
YP_001036334	cds_042 Unknown
YP_001036335	cds_043 Unknown
YP_001036336	cds_044 Unknown
YP_001036337	PEP Structural
YP_001036338	cds_046 Unknown
YP_001036339	cds_047 Unknown
YP_001036340	SOD Auxiliar
YP_001036341	PIF3    Structural
YP_001036342	cds_050 Unknown
YP_001036343	cds_051 Unknown
YP_001036344	cds_052 Unknown
YP_001036345	cds_053 Unknown
YP_001036346	dUTPase Auxiliar
YP_001036347	cds_055 Unknown
YP_001036348	P13 Auxiliar
YP_001036349	ODV-E66 Auxiliar
YP_001036350	cds_058 Unknown
YP_001036351	ODV-EC43    Structural
YP_001036352	cds_060 Unknown
YP_001036353	VP80    Structural
YP_001036354	P45 Auxiliar
YP_001036355	P12 Auxiliar
YP_001036356	P40 Unknown
YP_001036357	P6.9    Structural
YP_001036358	LEF5    Replication_Transcription
YP_001036359	38K Auxiliar
YP_001036360	cds_068 Unknown
YP_001036361	BRO Auxiliar
YP_001036362	cds_070 Unknown
YP_001036363	cds_071 Unknown
YP_001036364	Helicase    Replication_Transcription
YP_001036365	ODV-E25 Structural
YP_001036366	cds_074 Unknown
YP_001036367	P33 Auxiliar
YP_001036368	LEF4 Replication_Transcription
YP_001036369	VP39    Structural
YP_001036370	CG30    Structural
YP_001036371	VP91    Structural
YP_001036372	TLP Auxiliar
YP_001036373	cds_081 Unknown
YP_001036374	GP64    Auxiliar
YP_001036375	cds_083 Unknown
YP_001036376	VLF-1   Replication_Transcription
YP_001036377	cds_085 Unknown
YP_001036378	P26 Auxiliar
YP_001036379	IAP2    Auxiliar
YP_001036380	methyltransferase   Auxiliar
YP_001036381	cds_089 Unknown
YP_001036382	LEF3    Replication_Transcription
YP_001036383	cds_091 Unknown
YP_001036384	Polymerase  Replication_Transcription
YP_001036385	cds_093 Unknown
YP_001036386	cds_094 Unknown
YP_001036387	cds_095 Unknown
YP_001036388	cds_096 Unknown
YP_001036389	LEF9    Replication_Transcription
YP_001036390	FP25K   Auxiliar
YP_001036391	94K Unknown
YP_001036392	cds_100 Unknown
YP_001036393	cds_101 Unknown
YP_001036394	cds_102 Unknown
YP_001036395	cds_103 Unknown
YP_001036396	cds_104 Unknown
YP_001036397	VP1054  Structural
YP_001036398	LEF10   Auxiliar
YP_001036399	cds_107 Unknown
YP_001036400	cds_108 Unknown
YP_001036401	cds_109 Unknown
YP_001036402	cds_110 Unknown
YP_001036403	IAP3    Auxiliar
YP_001036404	J-domain    Auxiliar
YP_001036405	LEF8    Replication_Transcription
YP_001036406	cds_114 Unknown
YP_001036407	ODV-E66b    Structural
YP_001036408	P47 Replication_Transcription
YP_001036409	cds_117 Unknown
YP_001036410	cds_118 Unknown
YP_001036411	cds_119 Unknown
YP_001036412	LEF11   Replication_Transcription
YP_001036413	39K Replication_Transcription
YP_001036414	cds_122 Unknown
YP_001036415	cds_123 Unknown
YP_001036416	Ubiquitin   Auxiliar
YP_001036417	cds_125 Unknown
YP_001036418	cds_126 Unknown
YP_001036419	dbp Replication_Transcription
YP_001036420	LEF6    Replication_Transcription
YP_001036422	cds_129 Unknown
YP_001036421	cds_130 Unknown
YP_001036423	P26b    Auxiliar
YP_001036424	P10 Structural
YP_001036425	cds_133 Unknown
YP_001036426	P74 Structural
YP_001036427	cds_135 Unknown
YP_001036428	IE1 Replication_Transcription
YP_001036429	cds_137 Unknown
YP_001036430	cds_138 Unknown
YP_001036431	ODV-EC27    Structural
YP_001036432	ODV-E18 Structural
YP_001036433	P49 Auxiliar
YP_001036434	IE0 Replication_Transcription
YP_001036435	RR1 Auxiliar
